community,phase,total_edges,cross_edges,porosity,unique_target_communities
58,Pre-shift,154,30,0.19480519480519481,12
58,Post-shift,193,21,0.10880829015544041,11
1351,Pre-shift,5,0,0.0,1
35,Pre-shift,429,77,0.1794871794871795,16
35,Post-shift,51,11,0.21568627450980393,6
579,Pre-shift,5,0,0.0,1
2,Pre-shift,1407,305,0.21677327647476902,28
2,Post-shift,2251,369,0.16392714349178142,31
42,Pre-shift,217,49,0.22580645161290322,13
42,Post-shift,105,23,0.21904761904761905,11
9,Pre-shift,731,190,0.25991792065663477,22
9,Post-shift,554,187,0.33754512635379064,23
89,Pre-shift,29,6,0.20689655172413793,5
89,Post-shift,23,2,0.08695652173913043,3
8,Pre-shift,17,1,0.058823529411764705,2
8,Post-shift,147,33,0.22448979591836735,14
382,Pre-shift,9,0,0.0,1
16,Pre-shift,95,5,0.05263157894736842,5
16,Post-shift,175,42,0.24,10
7,Pre-shift,320,41,0.128125,17
7,Post-shift,707,89,0.12588401697312587,18
51,Pre-shift,594,80,0.13468013468013468,11
51,Post-shift,22,7,0.3181818181818182,5
5,Pre-shift,38,4,0.10526315789473684,3
5,Post-shift,130,25,0.19230769230769232,10
11,Pre-shift,295,61,0.20677966101694914,14
11,Post-shift,546,167,0.3058608058608059,25
10,Pre-shift,210,23,0.10952380952380952,13
10,Post-shift,377,60,0.15915119363395225,12
240,Pre-shift,20,1,0.05,2
143,Pre-shift,54,0,0.0,1
143,Post-shift,17,1,0.058823529411764705,2
3,Pre-shift,560,139,0.24821428571428572,20
3,Post-shift,298,88,0.2953020134228188,18
241,Pre-shift,5,0,0.0,1
12,Pre-shift,220,23,0.10454545454545454,9
12,Post-shift,656,168,0.25609756097560976,22
70,Pre-shift,156,37,0.23717948717948717,10
70,Post-shift,329,90,0.2735562310030395,18
74,Pre-shift,68,21,0.3088235294117647,8
74,Post-shift,85,19,0.2235294117647059,8
86,Pre-shift,191,35,0.18324607329842932,8
86,Post-shift,327,47,0.1437308868501529,15
6,Pre-shift,126,17,0.1349206349206349,11
6,Post-shift,194,20,0.10309278350515463,9
1,Pre-shift,166,24,0.14457831325301204,11
1,Post-shift,207,33,0.15942028985507245,12
876,Pre-shift,6,0,0.0,1
1047,Pre-shift,7,0,0.0,1
69,Pre-shift,220,72,0.32727272727272727,17
69,Post-shift,255,64,0.25098039215686274,15
49,Pre-shift,21,2,0.09523809523809523,2
49,Post-shift,266,35,0.13157894736842105,12
4,Pre-shift,139,19,0.1366906474820144,10
4,Post-shift,128,25,0.1953125,11
289,Pre-shift,7,0,0.0,1
123,Pre-shift,130,13,0.1,9
123,Post-shift,91,14,0.15384615384615385,8
24,Pre-shift,182,41,0.22527472527472528,11
24,Post-shift,113,32,0.2831858407079646,7
1098,Pre-shift,6,0,0.0,1
398,Pre-shift,6,0,0.0,1
43,Pre-shift,310,69,0.22258064516129034,15
43,Post-shift,157,48,0.3057324840764331,13
13,Pre-shift,52,12,0.23076923076923078,9
13,Post-shift,166,25,0.15060240963855423,8
115,Pre-shift,83,0,0.0,1
224,Pre-shift,8,0,0.0,1
655,Pre-shift,8,0,0.0,1
1579,Pre-shift,14,0,0.0,1
775,Pre-shift,6,0,0.0,1
127,Pre-shift,413,0,0.0,1
387,Pre-shift,5,0,0.0,1
577,Post-shift,9,3,0.3333333333333333,2
78,Pre-shift,5,0,0.0,1
384,Pre-shift,12,0,0.0,1
383,Pre-shift,5,0,0.0,1
410,Pre-shift,90,0,0.0,1
177,Pre-shift,13,0,0.0,1
991,Pre-shift,7,0,0.0,1
130,Pre-shift,7,0,0.0,1
54,Pre-shift,36,8,0.2222222222222222,6
54,Post-shift,80,10,0.125,5
98,Pre-shift,36,0,0.0,1
98,Post-shift,10,0,0.0,1
182,Pre-shift,30,0,0.0,1
210,Pre-shift,66,0,0.0,1
763,Pre-shift,5,0,0.0,1
330,Pre-shift,9,0,0.0,1
456,Pre-shift,5,0,0.0,1
146,Pre-shift,11,0,0.0,1
1379,Pre-shift,6,0,0.0,1
292,Pre-shift,6,0,0.0,1
664,Pre-shift,14,0,0.0,1
443,Pre-shift,7,0,0.0,1
33,Pre-shift,5,0,0.0,1
1364,Pre-shift,44,0,0.0,1
1364,Post-shift,12,0,0.0,1
1322,Pre-shift,12,0,0.0,1
68,Pre-shift,5,0,0.0,1
342,Pre-shift,5,0,0.0,1
625,Pre-shift,5,0,0.0,1
1476,Pre-shift,5,0,0.0,1
14,Pre-shift,47,2,0.0425531914893617,2
14,Post-shift,93,12,0.12903225806451613,6
75,Pre-shift,12,0,0.0,1
15,Pre-shift,152,4,0.02631578947368421,3
15,Post-shift,10,2,0.2,3
1088,Pre-shift,10,0,0.0,1
596,Pre-shift,5,0,0.0,1
459,Pre-shift,6,0,0.0,1
39,Pre-shift,10,0,0.0,1
613,Post-shift,15,1,0.06666666666666667,2
899,Pre-shift,6,0,0.0,1
184,Post-shift,6,0,0.0,1
1453,Pre-shift,92,4,0.043478260869565216,4
137,Pre-shift,7,0,0.0,1
137,Post-shift,19,1,0.05263157894736842,2
427,Pre-shift,6,0,0.0,1
773,Pre-shift,6,0,0.0,1
1027,Pre-shift,13,0,0.0,1
480,Pre-shift,5,0,0.0,1
399,Pre-shift,11,0,0.0,1
402,Pre-shift,16,0,0.0,1
862,Pre-shift,5,0,0.0,1
862,Post-shift,5,0,0.0,1
112,Post-shift,16,0,0.0,1
142,Post-shift,10,0,0.0,1
152,Pre-shift,11,1,0.09090909090909091,2
152,Post-shift,28,5,0.17857142857142858,3
238,Pre-shift,9,0,0.0,1
541,Pre-shift,8,0,0.0,1
1486,Pre-shift,5,0,0.0,1
278,Post-shift,6,1,0.16666666666666666,2
32,Pre-shift,138,26,0.18840579710144928,9
32,Post-shift,160,22,0.1375,9
626,Pre-shift,7,0,0.0,1
344,Post-shift,5,0,0.0,1
1316,Pre-shift,6,0,0.0,1
917,Pre-shift,7,0,0.0,1
1519,Pre-shift,5,0,0.0,1
297,Pre-shift,39,0,0.0,1
970,Pre-shift,5,0,0.0,1
313,Post-shift,7,0,0.0,1
837,Pre-shift,8,1,0.125,2
448,Pre-shift,6,0,0.0,1
