username,community,account_type,in_degree,out_degree,cross_comm_out,total_out,cross_comm_in,total_in,communities_reached_out,cross_ratio_out,structural_role,view_count_sum,view_count_median,tweet_count
0c1e59f19c,0,grassroot,0,1,0,0,0,0,0,0,Local Amplifier,0.0,,
293caa8d67,0,grassroot,2,0,0,0,0,2,0,0,Attention Sink,0.0,,
66c947d258,1,grassroot,0,1,0,0,0,0,0,0,Local Amplifier,0.0,,
06e0ed9581,1,media/news,206,0,0,0,123,353,0,0,Attention Sink,0.0,,
d3318700fe,2,grassroot,0,2,0,0,0,0,0,0,Local Amplifier,0.0,,
de70bf1dc1,2,elite/political,483,0,0,0,208,773,0,0,Attention Sink,0.0,,
752b42cc35,2,elite/political,621,0,0,0,335,1091,0,0,Attention Sink,0.0,,
371077c5b0,3,grassroot,0,1,0,2,0,0,0,0,Local Amplifier,0.0,,
70607be8e5,3,grassroot,34,0,0,0,22,70,0,0,Attention Sink,0.0,,
b44d7e9992,4,grassroot,0,2,1,2,0,0,1,5,Diffusion Driver,0.0,,
33041d548c,4,media/news,73,0,0,0,19,108,0,0,Attention Sink,0.0,,
2fbb75d021,5,grassroot,0,1,0,1,0,0,0,0,Local Amplifier,0.0,,
92a5b0aa51,5,grassroot,3,1,0,2,0,4,0,0,Local Amplifier,0.0,,
e5ed80ece2,5,media/news,20,0,0,0,2,29,0,0,Attention Sink,0.0,,
8f1f4e3eba,6,grassroot,1,16,5,27,0,2,4,"1,85185E+16",Diffusion Driver,0.0,,
fc8fa39f0b,7,media/news,261,3,2,3,83,366,2,"6,66667E+15",Diffusion Driver,0.0,,
ae74c0f210,8,media/news,27,0,0,0,13,36,0,0,Attention Sink,0.0,,
580012f0cc,7,grassroot,127,11,3,12,36,185,3,25,Diffusion Driver,0.0,,
526a6eeee9,6,grassroot,1,0,0,0,0,1,0,0,Attention Sink,0.0,,
81645dcfef,6,grassroot,1,0,0,0,0,2,0,0,Attention Sink,0.0,,
554564a7bd,6,grassroot,1,0,0,0,0,1,0,0,Attention Sink,0.0,,
f2e3cb1eab,6,media/news,140,0,0,0,31,149,0,0,Attention Sink,0.0,,
53ebfdbc71,6,grassroot,1,0,0,0,0,2,0,0,Attention Sink,0.0,,
726ca5939a,9,media/news,195,0,0,0,136,396,0,0,Attention Sink,0.0,,
a646b0e60f,6,grassroot,1,0,0,0,0,1,0,0,Attention Sink,0.0,,
12094da497,6,grassroot,1,0,0,0,0,4,0,0,Attention Sink,0.0,,
24326da422,6,grassroot,1,0,0,0,0,2,0,0,Attention Sink,0.0,,
c65319db0a,6,grassroot,1,1,0,2,0,3,0,0,Local Amplifier,0.0,,
bf000887fd,6,grassroot,1,0,0,0,0,1,0,0,Attention Sink,0.0,,
76b0b720a0,10,media/news,307,0,0,0,130,477,0,0,Attention Sink,0.0,,
7550e97f9b,6,grassroot,1,0,0,0,0,2,0,0,Attention Sink,0.0,,
5c48494a9e,11,grassroot,7,0,0,0,3,8,0,0,Attention Sink,0.0,,
98942d5c62,7,grassroot,6,0,0,0,0,6,0,0,Attention Sink,0.0,,
9b2c8d49d0,7,grassroot,2,0,0,0,0,3,0,0,Attention Sink,0.0,,
a64ab60a26,7,grassroot,1,0,0,0,0,1,0,0,Attention Sink,0.0,,
f1fe1d3a49,12,grassroot,77,0,0,0,28,115,0,0,Attention Sink,0.0,,
282c72f91e,7,media/news,2,0,0,0,0,2,0,0,Attention Sink,0.0,,
d863394a80,7,grassroot,6,0,0,0,1,6,0,0,Attention Sink,0.0,,
dd6f7b96df,7,grassroot,1,0,0,0,0,1,0,0,Attention Sink,0.0,,
719f82fbdc,13,grassroot,2,0,0,0,1,2,0,0,Attention Sink,0.0,,
1ccb498c6b,7,grassroot,1,0,0,0,0,2,0,0,Attention Sink,0.0,,
997c95aa13,7,grassroot,1,0,0,0,0,1,0,0,Attention Sink,0.0,,
28e4b90c60,14,grassroot,1,1,0,1,0,2,0,0,Local Amplifier,0.0,,
386dac40dc,14,grassroot,6,0,0,0,0,6,0,0,Attention Sink,0.0,,
28e58e0720,3,grassroot,0,2,1,3,0,0,1,"3,33333E+15",Diffusion Driver,0.0,,
58f38f08ea,3,media/news,15,0,0,0,11,36,0,0,Attention Sink,0.0,,
8a391f3158,3,grassroot,0,2,1,2,0,0,1,5,Diffusion Driver,0.0,,
a826f6264c,3,grassroot,6,1,1,1,2,10,1,10,Diffusion Driver,0.0,,
d51334f481,2,grassroot,113,0,0,0,46,138,0,0,Attention Sink,0.0,,
26b9f999f4,15,grassroot,0,2,0,3,0,0,0,0,Local Amplifier,0.0,,
275f9f7042,15,grassroot,43,0,0,0,6,55,0,0,Attention Sink,0.0,,
1ead266323,15,grassroot,29,4,0,7,0,57,0,0,Local Amplifier,0.0,,
e91231b62e,15,grassroot,1,3,0,4,0,2,0,0,Local Amplifier,0.0,,
b457022995,15,grassroot,2,0,0,0,0,3,0,0,Attention Sink,0.0,,
73521bdf59,15,grassroot,1,2,0,3,0,1,0,0,Local Amplifier,0.0,,
ff410f317b,16,grassroot,0,1,0,1,0,0,0,0,Local Amplifier,0.0,,
e7acd10eaf,16,media/news,38,0,0,0,9,55,0,0,Attention Sink,0.0,,
b4e0b0def7,17,grassroot,0,1,0,2,0,0,0,0,Local Amplifier,0.0,,
6d5482c4cb,17,grassroot,1,0,0,0,0,2,0,0,Attention Sink,0.0,,
52f4b660e0,18,grassroot,0,2,0,3,0,0,0,0,Local Amplifier,0.0,,
9da65f519a,18,grassroot,1,0,0,0,0,2,0,0,Attention Sink,0.0,,
fea13029df,18,grassroot,1,0,0,0,0,1,0,0,Attention Sink,0.0,,
bda4f99b19,7,grassroot,0,1,0,1,0,0,0,0,Local Amplifier,0.0,,
