community,first_tweet,first_user,first_account_type,total_tweets,total_engagement,unique_users,order,hours_from_first,date_day
16,2025-08-28 15:25:00,@969d45e6be,grassroot,32,383771.0,8,1,0.0,2025-08-28
9,2025-08-28 16:12:00,@37f8e05789,grassroot,70,385217.0,36,2,0.8,2025-08-28
89,2025-08-28 16:13:00,@83bde5180b,media/news,3,3197.0,3,3,0.8,2025-08-28
74,2025-08-28 16:40:00,@85573678b1,media/news,10,15486.0,3,4,1.2,2025-08-28
49,2025-08-28 16:44:00,@a1433150e9,media/news,21,73890.0,13,5,1.3,2025-08-28
11,2025-08-28 17:31:00,@529367cc33,media/news,58,1795746.0,31,6,2.1,2025-08-28
1128,2025-08-28 17:48:00,@6b97eee5ef,grassroot,1,0.0,1,7,2.4,2025-08-28
4,2025-08-28 18:02:00,@035f08cb6b,media/news,9,2167.0,7,8,2.6,2025-08-28
7,2025-08-28 18:19:00,@eb3da89454,grassroot,21,21159.0,19,9,2.9,2025-08-28
2,2025-08-28 18:49:00,@98bdb320f7,grassroot,102,365223.0,53,10,3.4,2025-08-28
12,2025-08-28 19:05:00,@253acaccfd,grassroot,59,229248.0,36,11,3.7,2025-08-28
43,2025-08-28 22:22:00,@04082e3d36,grassroot,15,41492.0,13,12,7.0,2025-08-28
3,2025-08-28 23:29:00,@1c4ca23d8e,grassroot,31,77020.0,19,13,8.1,2025-08-28
163,2025-08-29 00:00:00,@a5285250b7,grassroot,2,8841.0,2,14,8.6,2025-08-29
14,2025-08-29 03:13:00,@9067627775,grassroot,3,203.0,3,15,11.8,2025-08-29
221,2025-08-29 03:35:00,@7a86ca0e5f,grassroot,1,68673.0,1,16,12.2,2025-08-29
58,2025-08-29 03:51:00,@6c9c8ae816,grassroot,16,17762.0,13,17,12.4,2025-08-29
6,2025-08-29 05:45:00,@342b8f6746,grassroot,10,405964.0,8,18,14.3,2025-08-29
10,2025-08-29 08:15:00,@a985ac0652,grassroot,21,17471.0,21,19,16.8,2025-08-29
70,2025-08-29 09:46:00,@70a7386046,grassroot,15,127009.0,12,20,18.4,2025-08-29
1241,2025-08-29 16:53:00,@d92223dd1b,grassroot,1,301.0,1,21,25.5,2025-08-29
278,2025-08-29 17:41:00,@c0617e95d6,grassroot,3,241.0,1,22,26.3,2025-08-29
1,2025-08-29 23:39:00,@77d9460ae2,grassroot,32,88765.0,17,23,32.2,2025-08-29
24,2025-08-29 23:55:00,@36d37b8db0,grassroot,11,1762.0,10,24,32.5,2025-08-29
86,2025-08-30 02:30:00,@c10de35cb2,grassroot,10,8730.0,9,25,35.1,2025-08-30
1306,2025-08-30 04:07:00,@da9060af72,grassroot,1,0.0,1,26,36.7,2025-08-30
69,2025-08-30 04:55:00,@b8885eb655,grassroot,17,7668.0,13,27,37.5,2025-08-30
32,2025-08-30 10:56:00,@2777c17c33,grassroot,7,6460.0,3,28,43.5,2025-08-30
5,2025-08-30 11:23:00,@ad6e4b83a8,grassroot,17,52252.0,11,29,44.0,2025-08-30
439,2025-08-30 11:37:00,@a04180c41d,grassroot,1,40.0,1,30,44.2,2025-08-30
35,2025-08-30 11:53:00,@692b5f2a8d,grassroot,4,4198.0,4,31,44.5,2025-08-30
51,2025-08-30 12:00:00,@fc13263ebc,grassroot,10,2070.0,4,32,44.6,2025-08-30
265,2025-08-30 12:23:00,@0b7b95fc8b,grassroot,1,109.0,1,33,45.0,2025-08-30
389,2025-08-30 12:35:00,@05c848a874,grassroot,1,57.0,1,34,45.2,2025-08-30
73,2025-08-30 12:39:00,@92a1a59171,grassroot,1,42733.0,1,35,45.2,2025-08-30
1455,2025-08-30 12:41:00,@2b71f45cbe,grassroot,1,15.0,1,36,45.3,2025-08-30
392,2025-08-30 13:45:00,@93b01bd5f4,grassroot,1,69.0,1,37,46.3,2025-08-30
1370,2025-08-30 14:27:00,@3f5fe0f67a,grassroot,1,527.0,1,38,47.0,2025-08-30
1060,2025-08-30 14:30:00,@12b38ddc57,grassroot,1,104.0,1,39,47.1,2025-08-30
241,2025-08-30 14:38:00,@f453be9488,media/news,2,5335.0,1,40,47.2,2025-08-30
8,2025-08-30 14:54:00,@6c0067dd32,grassroot,6,28131.0,3,41,47.5,2025-08-30
1239,2025-08-30 15:02:00,@9dbeff0f78,media/news,2,1414.0,1,42,47.6,2025-08-30
192,2025-08-30 15:35:00,@ded6c76939,grassroot,4,1152.0,1,43,48.2,2025-08-30
269,2025-08-30 23:13:00,@5780d9c86f,grassroot,5,604.0,5,44,55.8,2025-08-30
145,2025-08-30 23:51:00,@6d7d426623,grassroot,1,61.0,1,45,56.4,2025-08-30
325,2025-08-31 01:26:00,@ca2c6ff274,grassroot,1,94.0,1,46,58.0,2025-08-31
985,2025-08-31 01:44:00,@e8b818d1f4,grassroot,1,3412.0,1,47,58.3,2025-08-31
629,2025-08-31 03:19:00,@54a88f2a34,media/news,3,22104.0,1,48,59.9,2025-08-31
1098,2025-08-31 05:33:00,@11c7a3578a,media/news,1,2351.0,1,49,62.1,2025-08-31
787,2025-08-31 06:34:00,@668e16e868,grassroot,1,47.0,1,50,63.2,2025-08-31
143,2025-08-31 07:56:00,@bb595a36a2,elite/political,1,17358.0,1,51,64.5,2025-08-31
577,2025-08-31 08:00:00,@91e8db6f51,grassroot,1,467.0,1,52,64.6,2025-08-31
1257,2025-08-31 09:25:00,@7cbf6df85a,grassroot,1,1561.0,1,53,66.0,2025-08-31
639,2025-08-31 09:37:00,@fb0e22f542,grassroot,1,5024.0,1,54,66.2,2025-08-31
1072,2025-08-31 10:11:00,@dfc79def2f,grassroot,1,160.0,1,55,66.8,2025-08-31
483,2025-08-31 10:17:00,@1df059f6c0,grassroot,1,117.0,1,56,66.9,2025-08-31
708,2025-08-31 10:57:00,@c7125b576d,grassroot,1,13.0,1,57,67.5,2025-08-31
482,2025-08-31 11:23:00,@e6e1593233,grassroot,1,73.0,1,58,68.0,2025-08-31
232,2025-08-31 11:53:00,@19a6d20f6c,grassroot,1,31.0,1,59,68.5,2025-08-31
538,2025-08-31 12:15:00,@6ddab66abd,elite/political,2,50445.0,2,60,68.8,2025-08-31
112,2025-08-31 12:34:00,@03d27da032,grassroot,10,8212.0,10,61,69.2,2025-08-31
108,2025-08-31 14:03:00,@eaf0051e81,grassroot,1,464.0,1,62,70.6,2025-08-31
818,2025-08-31 15:31:00,@3d96c708ef,grassroot,1,343.0,1,63,72.1,2025-08-31
374,2025-08-31 15:38:00,@52cfdfdb3a,grassroot,1,119.0,1,64,72.2,2025-08-31
865,2025-08-31 15:44:00,@d1a1ec0d05,grassroot,1,15567.0,1,65,72.3,2025-08-31
42,2025-08-31 15:59:00,@91b203a81b,grassroot,10,14705.0,5,66,72.6,2025-08-31
826,2025-08-31 16:03:00,@44f1902a73,grassroot,2,209.0,1,67,72.6,2025-08-31
518,2025-08-31 16:53:00,@5a8a084bbf,grassroot,1,96.0,1,68,73.5,2025-08-31
15,2025-08-31 23:44:00,@423a5f061f,grassroot,1,67.0,1,69,80.3,2025-08-31
740,2025-09-03 04:19:00,@ced7a39502,grassroot,1,94.0,1,70,132.9,2025-09-03
152,2025-09-03 06:03:00,@a76c7322cd,elite/political,5,455012.0,2,71,134.6,2025-09-03
1537,2025-09-03 07:17:00,@684b67fe31,grassroot,1,355.0,1,72,135.9,2025-09-03
13,2025-09-03 08:05:00,@50aae31679,grassroot,3,2312.0,3,73,136.7,2025-09-03
1494,2025-09-03 09:44:00,@77a4e00a4d,grassroot,1,120.0,1,74,138.3,2025-09-03
1196,2025-09-03 11:13:00,@64452a5cc7,grassroot,1,43.0,1,75,139.8,2025-09-03
707,2025-09-03 13:37:00,@74554155fb,grassroot,4,5090.0,2,76,142.2,2025-09-03
299,2025-09-03 15:08:00,@11a4c66077,grassroot,1,841.0,1,77,143.7,2025-09-03
388,2025-09-03 15:30:00,@0b1d4bc020,grassroot,1,32.0,1,78,144.1,2025-09-03
228,2025-09-03 16:00:00,@61e9e49208,grassroot,1,63.0,1,79,144.6,2025-09-03
356,2025-09-03 17:12:00,@2da6887824,grassroot,1,998.0,1,80,145.8,2025-09-03
1131,2025-09-03 23:13:00,@11c5df8210,grassroot,1,109.0,1,81,151.8,2025-09-03
1260,2025-09-04 01:39:00,@f47bbeab78,grassroot,1,32.0,1,82,154.2,2025-09-04
1148,2025-09-04 03:30:00,@435541e341,grassroot,2,59.0,2,83,156.1,2025-09-04
343,2025-09-04 04:37:00,@cf4d1c6e15,elite/political,2,3208.0,1,84,157.2,2025-09-04
1408,2025-09-04 07:00:00,@85ce7c70a5,media/news,1,703.0,1,85,159.6,2025-09-04
942,2025-09-04 07:29:00,@d3eb96f0dc,grassroot,1,845.0,1,86,160.1,2025-09-04
39,2025-09-04 09:33:00,@d62e2c3d7b,grassroot,1,306.0,1,87,162.1,2025-09-04
589,2025-09-04 14:03:00,@827fe1904b,grassroot,1,219.0,1,88,166.6,2025-09-04
141,2025-09-05 01:34:00,@d9d4a4ba18,grassroot,1,186.0,1,89,178.2,2025-09-05
123,2025-09-05 04:17:00,@ec82722f95,grassroot,1,40546.0,1,90,180.9,2025-09-05
467,2025-09-05 05:40:00,@d214689e38,grassroot,1,85.0,1,91,182.2,2025-09-05
1263,2025-09-05 08:41:00,@fb291f060a,grassroot,1,54.0,1,92,185.3,2025-09-05
636,2025-09-05 11:32:00,@4552ed612b,grassroot,1,98.0,1,93,188.1,2025-09-05
1291,2025-09-06 02:00:00,@a8ed18a41a,grassroot,1,1514.0,1,94,202.6,2025-09-06
1130,2025-09-06 04:30:00,@cdadda97f1,grassroot,1,184.0,1,95,205.1,2025-09-06
1478,2025-09-06 12:16:00,@e880392102,grassroot,1,127.0,1,96,212.8,2025-09-06
1244,2025-09-07 07:23:00,@d93966fbcc,grassroot,1,103.0,1,97,232.0,2025-09-07
1564,2025-09-08 07:42:00,@519dbbff77,grassroot,1,105.0,1,98,256.3,2025-09-08
968,2025-09-09 12:26:00,@212a3f083e,grassroot,1,1016.0,1,99,285.0,2025-09-09
511,2025-09-11 13:02:00,@5348021ec9,grassroot,1,705.0,1,100,333.6,2025-09-11
