hop,username,account_type,community,root
1,4320ab3e1c,grassroot,3.0,752b42cc35
1,f5a86410b5,grassroot,2.0,752b42cc35
1,179ccc45e5,grassroot,2.0,752b42cc35
1,843ce0d8f4,grassroot,2.0,752b42cc35
1,9b4fda52f9,grassroot,9.0,752b42cc35
1,1a0f90ac27,grassroot,7.0,752b42cc35
1,8c8ef2caf8,grassroot,13.0,752b42cc35
1,5556339e01,grassroot,2.0,752b42cc35
1,99a1c4cbc0,grassroot,2.0,752b42cc35
1,19586f3712,grassroot,16.0,752b42cc35
1,c31882c304,grassroot,58.0,752b42cc35
1,2d4e0d9cbb,grassroot,2.0,752b42cc35
1,34705a46ad,grassroot,2.0,752b42cc35
1,e33233e9d1,grassroot,69.0,752b42cc35
1,1696b07101,grassroot,24.0,752b42cc35
1,6e3a8b6f21,grassroot,70.0,752b42cc35
1,e0cc55af58,grassroot,2.0,752b42cc35
1,9e6f4b6332,grassroot,2.0,752b42cc35
1,a95ab4b4aa,grassroot,1.0,752b42cc35
1,db6030b12d,grassroot,2.0,752b42cc35
1,0fe3df5a59,grassroot,6.0,752b42cc35
1,7c87362f20,grassroot,11.0,752b42cc35
1,b9522776f7,grassroot,2.0,752b42cc35
1,9d1f9e7a5f,grassroot,2.0,752b42cc35
1,fa35d830e9,grassroot,2.0,752b42cc35
1,f0613e4b31,grassroot,9.0,752b42cc35
1,44b2316d0a,grassroot,6.0,752b42cc35
1,028b638216,grassroot,2.0,752b42cc35
1,2ee2d05d6d,grassroot,2.0,752b42cc35
1,6668c1954d,grassroot,2.0,752b42cc35
1,ae5df75ceb,grassroot,2.0,752b42cc35
1,686a42fb52,grassroot,2.0,752b42cc35
1,dd97865917,grassroot,2.0,752b42cc35
1,c5f60233c4,grassroot,69.0,752b42cc35
1,374a76acd4,grassroot,2.0,752b42cc35
1,b72a6e8c64,grassroot,104.0,752b42cc35
1,d31ffb4953,grassroot,2.0,752b42cc35
1,92dff56857,grassroot,2.0,752b42cc35
1,344d511033,grassroot,7.0,752b42cc35
1,37830871d4,grassroot,9.0,752b42cc35
1,a6ed448af7,grassroot,2.0,752b42cc35
1,9d3d570dad,grassroot,2.0,752b42cc35
