community,size,grassroot,media_news,elite_political,top_node,top_node_in_degree
2,1075,1016,9,50,752b42cc35,621
7,581,572,8,1,fc8fa39f0b,261
9,459,439,11,9,726ca5939a,195
12,433,422,4,7,29dfe58c9e,160
11,346,337,7,2,2e35b14f09,85
3,333,326,5,2,f290e08e9c,153
10,332,331,1,0,76b0b720a0,307
86,244,242,0,2,06f1a0d8c2,103
1,210,206,3,1,06e0ed9581,206
43,203,202,0,1,e26bca24c5,27
6,202,201,1,0,f2e3cb1eab,140
70,187,182,0,5,9bf47b9889,59
58,177,172,3,2,f66f18ce9f,68
49,175,171,2,2,687472c393,27
69,170,166,0,4,6c9eae0099,17
4,155,149,5,1,33041d548c,73
42,149,144,1,4,05202179cf,85
51,149,148,1,0,96baf55e5b,15
16,143,137,5,1,a1c8b58010,81
24,132,129,1,2,7f1430f4a9,55
32,132,117,14,1,cbef789d13,42
35,121,120,0,1,6ecc877338,19
13,120,119,1,0,abf9f90056,27
123,115,113,2,0,82c1d92f7b,58
5,101,95,3,3,595d58924e,21
8,95,94,1,0,9b5332de42,29
127,90,87,3,0,9888de3af0,38
14,87,87,0,0,8dd6acdfed,22
74,81,80,1,0,85573678b1,12
15,69,69,0,0,275f9f7042,43
143,44,43,0,1,f4acae8f7e,16
54,43,42,1,0,2423150d34,4
115,38,38,0,0,2a30b5aa7c,13
210,31,31,0,0,4384fe4bd2,10
89,30,30,0,0,bf21405d3d,25
1453,28,28,0,0,c4ca7eb5d2,1
98,26,26,0,0,0d296b51eb,10
297,23,23,0,0,d2ab0a9909,3
137,20,20,0,0,7c869b30d0,15
152,19,16,1,2,dad195f51d,10
85,18,18,0,0,04a2f3c8b2,14
94,18,18,0,0,1dd5434fbd,4
182,18,18,0,0,f06239231f,15
410,18,18,0,0,73ee6dd968,8
83,17,17,0,0,578809a231,12
240,17,17,0,0,f324e0c164,5
882,17,17,0,0,247614173f,2
104,15,15,0,0,13579b50d2,12
112,15,15,0,0,deea8ab643,13
373,14,14,0,0,b2ab585807,2
1364,14,14,0,0,156d2c1191,1
134,12,12,0,0,647ee93f77,7
613,12,12,0,0,0f48465b2a,8
1027,12,12,0,0,89c17d606f,1
121,11,11,0,0,57a4814892,9
1322,11,11,0,0,0bdf110643,1
142,10,10,0,0,af8231799e,8
291,10,10,0,0,edc41eca56,5
313,10,10,0,0,035bb6fcd5,2
39,9,9,0,0,a657afae34,4
84,9,9,0,0,f46a0b4aa6,4
107,9,9,0,0,56a481a724,8
140,9,9,0,0,9262f1556f,6
216,9,9,0,0,ef3d42feec,8
238,9,9,0,0,a61b08640a,1
330,9,9,0,0,f5bf89ea85,1
146,8,8,0,0,bf89a62816,5
519,8,8,0,0,cdf57edeff,7
541,8,8,0,0,e99e663fda,2
577,8,8,0,0,8a5f58fd61,7
664,8,8,0,0,7d1b664ca6,5
747,8,8,0,0,28f337d6e7,7
1092,8,8,0,0,cf8a6d1b60,4
73,7,7,0,0,92a1a59171,2
217,7,7,0,0,f5ca83f8da,5
241,7,6,1,0,f453be9488,3
247,7,7,0,0,cfdd6d9b82,5
269,7,6,0,1,b0afde0a70,5
278,7,6,1,0,06ddd2e54a,1
384,7,7,0,0,0d7c0afc1f,1
398,7,7,0,0,3ae7c61102,2
402,7,7,0,0,ad900f0c36,3
537,7,7,0,0,769c01eea0,4
572,7,7,0,0,db2035d513,1
862,7,7,0,0,670a7dbbdf,3
37,6,6,0,0,88fd2c1bba,1
184,6,6,0,0,010323dc0e,3
250,6,6,0,0,6dd110a015,5
344,6,6,0,0,abebad514f,1
355,6,6,0,0,a9dc2a64ad,4
