username;community;account_type;in_degree;out_degree
0c1e59f19c;0;grassroot;0;1
293caa8d67;0;grassroot;2;0
66c947d258;1;grassroot;0;1
06e0ed9581;1;media/news;206;0
d3318700fe;2;grassroot;0;2
de70bf1dc1;2;elite/political;483;0
752b42cc35;2;elite/political;621;0
371077c5b0;3;grassroot;0;1
70607be8e5;3;grassroot;34;0
b44d7e9992;4;grassroot;0;2
33041d548c;4;media/news;73;0
2fbb75d021;5;grassroot;0;1
92a5b0aa51;5;grassroot;3;1
e5ed80ece2;5;media/news;20;0
8f1f4e3eba;6;grassroot;1;16
fc8fa39f0b;7;media/news;261;3
ae74c0f210;8;media/news;27;0
580012f0cc;7;grassroot;127;11
526a6eeee9;6;grassroot;1;0
81645dcfef;6;grassroot;1;0
554564a7bd;6;grassroot;1;0
f2e3cb1eab;6;media/news;140;0
53ebfdbc71;6;grassroot;1;0
726ca5939a;9;media/news;195;0
a646b0e60f;6;grassroot;1;0
12094da497;6;grassroot;1;0
24326da422;6;grassroot;1;0
c65319db0a;6;grassroot;1;1
bf000887fd;6;grassroot;1;0
76b0b720a0;10;media/news;307;0
7550e97f9b;6;grassroot;1;0
5c48494a9e;11;grassroot;7;0
98942d5c62;7;grassroot;6;0
9b2c8d49d0;7;grassroot;2;0
a64ab60a26;7;grassroot;1;0
f1fe1d3a49;12;grassroot;77;0
282c72f91e;7;media/news;2;0
d863394a80;7;grassroot;6;0
dd6f7b96df;7;grassroot;1;0
719f82fbdc;13;grassroot;2;0
1ccb498c6b;7;grassroot;1;0
997c95aa13;7;grassroot;1;0
28e4b90c60;14;grassroot;1;1
386dac40dc;14;grassroot;6;0
28e58e0720;3;grassroot;0;2
58f38f08ea;3;media/news;15;0
8a391f3158;3;grassroot;0;2
a826f6264c;3;grassroot;6;1
d51334f481;2;grassroot;113;0
26b9f999f4;15;grassroot;0;2
275f9f7042;15;grassroot;43;0
1ead266323;15;grassroot;29;4
e91231b62e;15;grassroot;1;3
b457022995;15;grassroot;2;0
73521bdf59;15;grassroot;1;2
ff410f317b;16;grassroot;0;1
e7acd10eaf;16;media/news;38;0
b4e0b0def7;17;grassroot;0;1
6d5482c4cb;17;grassroot;1;0
52f4b660e0;18;grassroot;0;2
9da65f519a;18;grassroot;1;0
fea13029df;18;grassroot;1;0
bda4f99b19;7;grassroot;0;1
d4fb71a041;19;grassroot;0;1
a880bc5c5e;19;grassroot;1;0
25564f012c;4;grassroot;0;1
e15820cee3;4;grassroot;13;1
7aae6b6076;4;grassroot;13;0
ad206fa373;21;grassroot;0;1
9f13f930fb;21;media/news;1;0
d64c097b51;22;grassroot;0;1
542e862ecd;22;grassroot;1;0
3053681746;10;grassroot;0;1
fa6f0f8248;23;grassroot;0;1
3565f15396;23;grassroot;2;0
cfac692604;10;grassroot;0;1
f06e9539b6;3;grassroot;0;4
5d2873a0a2;16;grassroot;10;0
46464bc202;24;grassroot;10;0
e872ae9cee;25;grassroot;0;1
82289203e5;25;grassroot;1;0
d32edda229;2;grassroot;0;3
20253a4935;2;grassroot;1;0
78a5d7fbc8;2;grassroot;44;4
6f58b334cb;2;elite/political;50;0
5a0bf18aec;2;elite/political;46;0
f9a95db9a0;12;grassroot;0;2
e3557309a4;12;grassroot;1;0
29dfe58c9e;12;elite/political;160;0
daf36f8630;16;grassroot;0;1
a1c8b58010;16;media/news;81;0
454c73eced;6;grassroot;0;1
2a2d7c1315;1;grassroot;0;4
19290827fa;1;grassroot;1;0
3c39d0171f;1;grassroot;1;0
5fcbe15989;9;grassroot;0;1
9229fb9770;1;grassroot;0;4
724c67b036;1;grassroot;1;0
062c821041;1;grassroot;14;0
735b5ce52f;2;grassroot;0;2
